_id,id,year,state_name,state_code,district_name,district_code,season,crop_code,crop_name,crop_type,area,area_unit,production,production_unit,yield,yield_unit
3985,3984, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,507,Arecanut,Spices,1.0,Hectare,7.0,Tonnes,7.0,Tonnes/Hectare
3986,3985, 1998-99,Karnataka,29,Ballari,528,Whole Year ,507,Arecanut,Spices,6.0,Hectare,40.0,Tonnes,6.67,Tonnes/Hectare
3987,3986, 1998-99,Karnataka,29,Bangalore Rural,526,Whole Year ,507,Arecanut,Spices,479.0,Hectare,3226.0,Tonnes,6.73,Tonnes/Hectare
3988,3987, 1998-99,Karnataka,29,Bengaluru Urban,525,Whole Year ,507,Arecanut,Spices,81.0,Hectare,546.0,Tonnes,6.74,Tonnes/Hectare
3989,3988, 1998-99,Karnataka,29,Chamarajanagara,531,Whole Year ,507,Arecanut,Spices,174.0,Hectare,610.0,Tonnes,3.51,Tonnes/Hectare
3990,3989, 1998-99,Karnataka,29,Chikkamagaluru,532,Whole Year ,507,Arecanut,Spices,12622.0,Hectare,76737.0,Tonnes,6.08,Tonnes/Hectare
3991,3990, 1998-99,Karnataka,29,Chitradurga,533,Whole Year ,507,Arecanut,Spices,6113.0,Hectare,28613.0,Tonnes,4.68,Tonnes/Hectare
3992,3991, 1998-99,Karnataka,29,Dakshina Kannada,534,Whole Year ,507,Arecanut,Spices,21698.0,Hectare,181622.0,Tonnes,8.37,Tonnes/Hectare
3993,3992, 1998-99,Karnataka,29,Davangere,535,Whole Year ,507,Arecanut,Spices,12332.0,Hectare,57723.0,Tonnes,4.68,Tonnes/Hectare
3994,3993, 1998-99,Karnataka,29,Dharwad,536,Whole Year ,507,Arecanut,Spices,7.0,Hectare,47.0,Tonnes,6.71,Tonnes/Hectare
3995,3994, 1998-99,Karnataka,29,Hassan,539,Whole Year ,507,Arecanut,Spices,1805.0,Hectare,9666.0,Tonnes,5.36,Tonnes/Hectare
3996,3995, 1998-99,Karnataka,29,Haveri,540,Whole Year ,507,Arecanut,Spices,225.0,Hectare,1515.0,Tonnes,6.73,Tonnes/Hectare
3997,3996, 1998-99,Karnataka,29,Kodagu,541,Whole Year ,507,Arecanut,Spices,1097.0,Hectare,7388.0,Tonnes,6.73,Tonnes/Hectare
3998,3997, 1998-99,Karnataka,29,Kolar,542,Whole Year ,507,Arecanut,Spices,111.0,Hectare,749.0,Tonnes,6.75,Tonnes/Hectare
3999,3998, 1998-99,Karnataka,29,Mandya,544,Whole Year ,507,Arecanut,Spices,674.0,Hectare,4539.0,Tonnes,6.73,Tonnes/Hectare
4000,3999, 1998-99,Karnataka,29,Mysuru,545,Whole Year ,507,Arecanut,Spices,453.0,Hectare,1589.0,Tonnes,3.51,Tonnes/Hectare
4001,4000, 1998-99,Karnataka,29,Shivamogga,547,Whole Year ,507,Arecanut,Spices,19163.0,Hectare,137087.0,Tonnes,7.15,Tonnes/Hectare
4002,4001, 1998-99,Karnataka,29,Tumakuru,548,Whole Year ,507,Arecanut,Spices,7649.0,Hectare,43262.0,Tonnes,5.66,Tonnes/Hectare
4003,4002, 1998-99,Karnataka,29,Udupi,549,Whole Year ,507,Arecanut,Spices,3629.0,Hectare,30376.0,Tonnes,8.37,Tonnes/Hectare
4004,4003, 1998-99,Karnataka,29,Uttara Kannada,550,Whole Year ,507,Arecanut,Spices,9728.0,Hectare,63023.0,Tonnes,6.48,Tonnes/Hectare
4005,4004, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,202,Arhar/Tur,Pulses,6154.0,Hectare,2602.0,Tonnes,0.42,Tonnes/Hectare
4006,4005, 1998-99,Karnataka,29,Ballari,528,Kharif     ,202,Arhar/Tur,Pulses,7563.0,Hectare,2234.0,Tonnes,0.3,Tonnes/Hectare
4007,4006, 1998-99,Karnataka,29,Bangalore Rural,526,Kharif     ,202,Arhar/Tur,Pulses,5522.0,Hectare,2151.0,Tonnes,0.39,Tonnes/Hectare
4008,4007, 1998-99,Karnataka,29,Belagavi,527,Kharif     ,202,Arhar/Tur,Pulses,8602.0,Hectare,3645.0,Tonnes,0.42,Tonnes/Hectare
4009,4008, 1998-99,Karnataka,29,Bengaluru Urban,525,Kharif     ,202,Arhar/Tur,Pulses,936.0,Hectare,436.0,Tonnes,0.47,Tonnes/Hectare
4010,4009, 1998-99,Karnataka,29,Bidar,529,Kharif     ,202,Arhar/Tur,Pulses,54354.0,Hectare,41464.0,Tonnes,0.76,Tonnes/Hectare
4011,4010, 1998-99,Karnataka,29,Chamarajanagara,531,Kharif     ,202,Arhar/Tur,Pulses,2487.0,Hectare,572.0,Tonnes,0.23,Tonnes/Hectare
4012,4011, 1998-99,Karnataka,29,Chikkamagaluru,532,Kharif     ,202,Arhar/Tur,Pulses,1035.0,Hectare,482.0,Tonnes,0.47,Tonnes/Hectare
4013,4012, 1998-99,Karnataka,29,Chitradurga,533,Kharif     ,202,Arhar/Tur,Pulses,7582.0,Hectare,3393.0,Tonnes,0.45,Tonnes/Hectare
